System,Drug,Class,Indication,Pediatric_Dose,Max_Dose,Dosage_Form,Route,Frequency,Contraindications,Major_Side_Effects,Special_Notes
Infectious_Diseases,Gentamicin,Aminoglycoside,Gram-negative sepsis,7.5 mg/kg IV q24h (≥1 mo),—,Vial,IV,Once daily,Aminoglycoside allergy,Nephro/oto,Monitor levels
Infectious_Diseases,Vancomycin,Glycopeptide,MRSA C diff (PO),10-15 mg/kg IV q6-8h neonates q12-24h,2 g/dose,Vial,IV,q6-8h,Hypersensitivity,Red-man nephro/oto,Monitor trough
Infectious_Diseases,Clindamycin,Lincosamide,MRSA anaerobic infections,10 mg/kg IV q8h PO 10 mg/kg TID,900 mg/dose IV 2.7 g/day,Cap susp vial,PO/IV,TID-QID,Lincomycin allergy,CDAD rash,Monitor CDAD
Infectious_Diseases,Azithromycin,Macrolide,Atypical pneumonia pertussis,10 mg/kg/day PO 3-5 days,500 mg/day,Susp tab,PO,Once daily,Macrolide allergy,QT prolongation GI upset,Take 1 hr before meals
Infectious_Diseases,Clarithromycin,Macrolide,Strep pneumo H pylori,7.5 mg/kg BID,1 g/day,Susp tab,PO,BID,Macrolide allergy,Hepatitis QT prolong,Potent CYP3A4
Infectious_Diseases,Trimethoprim-Sulfamethoxazole,Sulfa combo,PCP typhoid pertussis,20 mg/kg SMX + 4 mg/kg TMP BID,1600 mg SMX + 320 mg TMP/day,Susp tab,PO,BID,Sulfa allergy G6PD,Hyperkalemia rash Stevens-Johnson,Monitor K⁺
Infectious_Diseases,Ciprofloxacin,Fluoroquinolone,UTI meningococcal prophylaxis,1 mo-4 y 30 mg/kg (max 125 mg) single 5-11 y 250 mg 12-17 y 500 mg,500 mg,Tab susp,PO,Single (prophylaxis),Fluoroquinolone allergy,GI upset tendon rupture,Avoid in pregnancy
Infectious_Diseases,Metronidazole,Nitroimidazole,Anaerobic infections giardiasis,10 mg/kg IV/PO q8h (max 400 mg),400 mg/dose,Tab susp vial,PO/IV,q8h,Nitroimidazole allergy,Metallic taste disulfiram,No alcohol 48 h
Infectious_Diseases,Acyclovir,Antiviral,HSV encephalitis neonatal HSV chickenpox,Encephalitis 10 mg/kg IV q8h; neonatal 20 mg/kg q8h; chickenpox 20 mg/kg PO q6h,—,Tab susp vial,PO/IV,q6-8h,Hypersensitivity,Nephrotoxicity neurotoxicity,Hydrate
Infectious_Diseases,Oseltamivir,Neuraminidase inhibitor,Influenza treatment prophylaxis,3 mg/kg BID treatment 3 mg/kg once daily prophylaxis,75 mg BID treatment 75 mg daily prophylaxis,Susp cap,PO,BID/QD,Hypersensitivity,Nausea vomiting,Start ≤48 h symptoms
Infectious_Diseases,Isoniazid,Anti-TB,Tuberculosis treatment LTBI,10-15 mg/kg once daily max 300 mg,300 mg/day,Tab syrup,PO,Once daily,Severe hepatic disease,Hepatitis neuropathy,Pyridoxine supplement
Infectious_Diseases,Rifampin,Anti-TB,TB meningococcal prophylaxis,TB 10-20 mg/kg daily max 600 mg; meningococcal 10 mg/kg q12h x2 days,600 mg/day,Cap syrup,PO,Once daily or BID,Rifamycin allergy,Hepatitis orange tears,Potent CYP inducer
Infectious_Diseases,Pyrazinamide,Anti-TB,Tuberculosis initial phase,15-30 mg/kg once daily max 2 g,2 g/day,Tab,PO,Once daily,Severe hepatic disease gout,Hepatitis hyperuricemia,Monitor uric acid LFT
Metabolic_Disorders,Desmopressin,ADH analog,Diabetes insipidus,0.1 mg BID nasal 10-40 mcg/day,0.8 mg/day,Tab nasal spray,PO/Intranasal,BID,Hyponatremia,Water intoxication,Monitor Na+
Metabolic_Disorders,Sapropterin,Cofactor,Phenylketonuria,10-20 mg/kg/day,—,Tab powder,PO,Once daily,Hypersensitivity,Headache rhinitis,Blood Phe monitoring
Metabolic_Disorders,Insulin,Short-acting,Type 1/2 diabetes,0.5-1 U/kg/day ÷ TID-QID,—,Vial pen,SC,TID-QID,Hypoglycemia,Hypoglycemia,Carb counting
Metabolic_Disorders,Metformin,Biguanide,Type 2 diabetes,500 mg BID titrate max 2000 mg,2000 mg/day,Tab liquid,PO,BID,Renal failure,GI upset lactic acidosis,Monitor eGFR
Metabolic_Disorders,Glyburide,Sulfonylurea,Type 2 diabetes,0.1-0.4 mg/kg/day ÷ BID,20 mg/day,Tab,PO,BID,Hypoglycemia,Hypoglycemia weight gain,Monitor glucose
Metabolic_Disorders,Levothyroxine,Thyroid hormone,Hypothyroidism,10-15 mcg/kg/day,200 mcg/day,Tab liquid,PO,Once daily,Uncorrected adrenal insufficiency,Tachycardia,Monitor TSH
Metabolic_Disorders,Liothyronine,T3,Myxedema,5 mcg/day titrate,50 mcg/day,Tab,PO,Once daily,Same as above,Same as above,Short half-life
Metabolic_Disorders,Methimazole,Antithyroid,Hyperthyroidism,0.5-1 mg/kg/day ÷ TID,40 mg/day,Tab,PO,TID,Agranulocytosis,Rash agranulocytosis,Monitor CBC
Metabolic_Disorders,Propylthiouracil,Antithyroid,Hyperthyroidism,5-7 mg/kg/day ÷ TID,300 mg/day,Tab,PO,TID,Hepatotoxicity,Hepatitis,Monitor LFT
Metabolic_Disorders,Hydrocortisone,Corticosteroid,Adrenal insufficiency,8-10 mg/m²/day ÷ TID,80 mg/day,Tab IV,PO/IV,TID,Systemic fungal infection,Growth suppression,Stress dosing
Metabolic_Disorders,Prednisolone,Corticosteroid,Adrenal insufficiency,0.5-2 mg/kg/day,80 mg/day,Tab liquid,PO,Once daily,Same as above,Same as above,Taper slowly
Metabolic_Disorders,Fludrocortisone,Mineralocorticoid,CAH,0.05-0.2 mg/day,0.4 mg/day,Tab,PO,Once daily,Cardiac failure,Hypertension,Monitor K+
Metabolic_Disorders,Growth hormone,Growth hormone,Growth hormone deficiency,0.025-0.04 mg/kg/day,0.06 mg/kg/day,Injection,SC,Once daily,Active malignancy,Edema,Monitor IGF-1
Metabolic_Disorders,Octreotide,Somatostatin analog,Hyperinsulinism,1-10 mcg/kg/day ÷ TID,1500 mcg/day,Amp,SC/IV,TID,Gallstones,GI upset,Monitor glucose
Metabolic_Disorders,Lanreotide,Somatostatin analog,Acromegaly,60-120 mg SC q4wk,—,Depot,SC,q4wk,Same as above,Same as above,Depot injection
Metabolic_Disorders,Allopurinol,Xanthine oxidase,Hyperuricemia,10 mg/kg/day max 800 mg,800 mg/day,Tab,PO,Once daily,Hypersensitivity,Rash Stevens-Johnson,Start before chemo
Metabolic_Disorders,Febuxostat,Xanthine oxidase,Hyperuricemia,Not approved <18 yrs,—,Tab,PO,Once daily,Same as above,Same as above,Adult use
Metabolic_Disorders,Pegvaliase,Enzyme replacement,Phenylketonuria,2-20 mg SC weekly titrate,40 mg/week,Injection,SC,Weekly,Hypersensitivity,Injection site anaphylaxis,Gradual titration
Metabolic_Disorders,Imiglucerase,Enzyme replacement,Gaucher disease,60 U/kg IV q2wk,—,Vial,IV,q2wk,Hypersensitivity,Infusion reaction,Monitor antibody
Metabolic_Disorders,Eliglustat,Substrate reduction,Gaucher type I,Not approved <18 yrs,—,Cap,PO,BID,Strong CYP3A4 inhibitors,Cardiac arrhythmia,Adult use
Metabolic_Disorders,Nitisinone,Enzyme inhibitor,Tyrosinemia type I,0.5-1 mg/kg twice daily,2 mg/kg/day,Cap,PO,BID,Hypersensitivity,Thrombocytopenia hepatic,Monitor platelets LFT
Musculoskeletal_Orthopedics,Naproxen,NSAID,JIA pain,10 mg/kg BID,1000 mg/day,Tab susp,PO,BID,Same as above,Same as above,Same as above
Musculoskeletal_Orthopedics,Indomethacin,NSAID,JIA PDA closure,1-2 mg/kg/day ÷ TID-QID,4 mg/kg/day,Cap susp supp,PO/PR,TID-QID,Same as above,Same as above,Monitor renal
Musculoskeletal_Orthopedics,Meloxicam,NSAID,JIA,0.125 mg/kg once daily (≥2 yrs),15 mg/day,Tab susp,PO,Once daily,Same as above,Same as above,Once-daily
Musculoskeletal_Orthopedics,Celecoxib,COX-2 inhibitor,JIA,≥2 yrs 50-100 mg BID,200 mg/day,Cap,PO,BID,Same as above,Same as above,Less GI bleed
Musculoskeletal_Orthopedics,Acetaminophen,Analgesic antipyretic,Pain fever,10-15 mg/kg q4-6h,75 mg/kg/day,Tab liquid supp,PO/PR,q4-6h,Hepatic failure,Hepatotoxicity,Monitor total daily dose
Musculoskeletal_Orthopedics,Tramadol,Opioid,Mild-moderate pain,1-2 mg/kg q6h,100 mg/dose,Tab liquid,PO,q6h,Opioid hypersensitivity,Respiratory depression seizures,Monitor respiration
Musculoskeletal_Orthopedics,Morphine,Opioid,Severe pain,0.1-0.2 mg/kg IV q2-4h,—,Ampule,IV,q2-4h,Same as above,Same as above,Monitor respiration
Musculoskeletal_Orthopedics,Codeine,Opioid,Pain cough,0.5-1 mg/kg q4-6h,60 mg/dose,Syrup tab,PO,q4-6h,Same as above,Same as above,Risk of apnea <12 yrs
Musculoskeletal_Orthopedics,Hydrocodone,Opioid,Pain,0.1-0.2 mg/kg q4-6h,10 mg/dose,Syrup tab,PO,q4-6h,Same as above,Same as above,Same as above
Musculoskeletal_Orthopedics,Oxycodone,Opioid,Pain,0.1-0.2 mg/kg q4-6h,10 mg/dose,Syrup tab,PO,q4-6h,Same as above,Same as above,Same as above
Musculoskeletal_Orthopedics,Baclofen,Muscle relaxant,Spasticity,0.3 mg/kg/day ÷ TID titrate 0.75-2 mg/kg/day max 40-60 mg,60 mg/day,Tab liquid,PO,TID-QID,None,Sedation hypotonia,Avoid abrupt stop
Musculoskeletal_Orthopedics,Tizanidine,α2-agonist,Spasticity,0.05 mg/kg/day ÷ BID titrate 0.2 mg/kg/day,0.2 mg/kg/day,Tab cap,PO,BID-TID,Hypersensitivity,Drowsiness hypotension,Monitor BP
Musculoskeletal_Orthopedics,Ibuprofen,NSAID,Pain inflammation fever,5-10 mg/kg q6-8h,40 mg/kg/day,Tab susp,PO,q6-8h,NSAID allergy ulcer,GI bleed renal toxicity,Take with food
Musculoskeletal_Orthopedics,Diazepam,Benzodiazepine,Muscle spasm,0.12-0.8 mg/kg/day ÷ TID-QID,—,Tab liquid inj,PO/IV,TID-QID,Severe resp insufficiency,Sedation dependence,Short-term use
Musculoskeletal_Orthopedics,Methocarbamol,Muscle relaxant,Muscle spasm,15 mg/kg q6h,—,Tab inj,PO/IV,q6h,None,Drowsiness dizziness,Monitor CNS
Musculoskeletal_Orthopedics,Diclofenac,NSAID,JIA pain,1-2 mg/kg/day ÷ BID,150 mg/day,Tab gel,PO/Topical,BID-QID,Same as above,Same as above,Topical less systemic
Musculoskeletal_Orthopedics,Dantrolene,Muscle relaxant,Malignant hyperthermia,1-2.5 mg/kg IV q15 min max 10 mg/kg,—,Vial,IV,q15 min,None,Hepatotoxicity weakness,Monitor LFT
Musculoskeletal_Orthopedics,Prednisolone,Corticosteroid,JRA myositis,1-2 mg/kg/day max 60 mg,60 mg/day,Tab liquid,PO,Once daily,Systemic infection,Same as above,Taper slowly
Musculoskeletal_Orthopedics,Calcium,Vitamin D,Fracture prevention,500-1300 mg elemental daily,—,Tab chew,PO,Once daily,Hypercalcemia,Constipation,With vitamin D
Musculoskeletal_Orthopedics,Vitamin D,Supplement,Bone health,400-1000 IU daily,—,Drops cap,PO,Once daily,Hypercalcemia,Hypercalcemia,Monitor Ca²⁺
Musculoskeletal_Orthopedics,Orphenadrine,Muscle relaxant,Muscle spasm,2 mg/kg BID,—,Tab,PO,BID,Glaucoma,Anticholinergic,Monitor CNS
Neonatology,Vitamin K,Coagulation factor,Vit K deficiency,0.5-1 mg IM/IV/PO single,1 mg,Ampule tab,IM/IV/PO,Single,None,Anaphylaxis IV,Fresh ampule
Neonatology,Caffeine citrate,Methylxanthine,Apnea of prematurity,Loading 20 mg/kg PO/IV then 5-10 mg/kg daily,—,Solution,PO/IV,Once daily,Hypersensitivity tachycardia,Tachycardia jitteriness,Monitor serum levels
Neonatology,Surfactant (Beractant),Lung surfactant,RDS,100 mg/kg intratracheal q6h PRN (max 4 doses),400 mg/kg,Vial,Intratracheal,q6h PRN,None,Airway obstruction,Administer via ETT
Neonatology,Morphine,Opioid,Analgesia sedation,0.05-0.1 mg/kg IV q4-6h,—,Ampule,IV,q4-6h,Respiratory depression,Hypotension respiratory depression,Monitor RR BP
Neonatology,Fentanyl,Opioid,Analgesia sedation,1-2 mcg/kg IV q2-4h,—,Ampule,IV,q2-4h,Same as morphine,Same as morphine,Short acting
Neonatology,Midazolam,Benzodiazepine,Sedation,0.05-0.1 mg/kg IV q2-4h,—,Ampule,IV,q2-4h,Severe hypotension,Sedation hypotension,Monitor BP RR
Neonatology,Phenobarbital,Anticonvulsant,Seizures,Loading 20 mg/kg IV then 3-5 mg/kg/day,—,Ampule tab,IV/PO,Once daily,Respiratory depression,Sedation respiratory depression,Monitor levels
Neonatology,Phenytoin,Anticonvulsant,Seizures,Loading 15-20 mg/kg IV then 5-8 mg/kg/day,—,Ampule susp,IV/PO,BID,Heart block,Hypotension arrhythmia,Monitor levels ECG
Neonatology,Prostaglandin E1,Vasodilator,Ductal-dependent CHD,0.05-0.1 mcg/kg/min IV,—,Ampule,IV,Continuous,None,Apnea hypotension,Intubation ready
Neonatology,Dopamine,Inotrope,Hypotension,2-20 mcg/kg/min IV,—,Ampule,IV,Continuous,Tachyarrhythmias,Tachycardia arrhythmia,Monitor HR BP
Neonatology,Dobutamine,Inotrope,Low cardiac output,2-20 mcg/kg/min IV,—,Ampule,IV,Continuous,Same as dopamine,Same as dopamine,Monitor HR BP
Neonatology,Epinephrine,Vasopressor,Cardiac arrest,0.01 mg/kg IV q3-5 min,—,Ampule,IV,PRN,None,Tachycardia arrhythmia,Follow PALS
Neonatology,Insulin,Short-acting,Hyperglycemia,0.05-0.1 U/kg/h IV titrate,—,Vial,IV,Continuous,Hypoglycemia,Hypoglycemia,Monitor glucose q1h
Neonatology,Calcium gluconate,Electrolyte,Hypocalcemia,100-200 mg/kg IV slow,—,Ampule,IV,q6-8h,Hypercalcemia,Bradycardia arrhythmia,Monitor ECG
Neonatology,Erythropoietin,Erythropoietic,Anemia of prematurity,250-400 U/kg SC 3x/wk,—,Vial,SC,3x/wk,Uncontrolled HTN,HTN thrombosis,Monitor Hct BP
Neonatology,Iron sulfate,Iron supplement,Anemia prophylaxis,2-4 mg/kg/day elemental,6 mg/kg/day,Drops tab,PO,Once daily,Hemochromatosis,Constipation GI upset,Give with vitamin C
Neonatology,Fluconazole,Antifungal,Candidiasis,6-12 mg/kg IV/PO daily,12 mg/kg/day,Susp vial,PO/IV,Once daily,Hepatic failure,Hepatotoxicity,Monitor LFT
Neonatology,Acyclovir,Antiviral,HSV neonatal,20 mg/kg IV q8h ×14-21 days,—,Vial,IV,q8h,Renal failure,Nephrotoxicity,Hydrate well
Neonatology,Vancomycin,Glycopeptide,MRSA sepsis,10-15 mg/kg IV q12-24h (age-based),—,Vial,IV,q12-24h,Red-man syndrome,Nephro/oto,Monitor trough
Neonatology,Gentamicin,Aminoglycoside,Sepsis,2.5 mg/kg IV q12-48h (age-based),—,Vial,IV,q12-48h,Anuria,Nephro/oto,Monitor levels
Neonatology,Furosemide,Loop diuretic,Edema,1 mg/kg IV q12-24h,—,Ampule,IV,q12-24h,Anuria,Hypokalemia ototoxicity,Monitor electrolytes
Nephrology,Febuxostat,Xanthine oxidase inhibitor,Hyperuricemia,Not approved <18 yrs,—,Tab,PO,Once daily,Hypersensitivity,Same as above,Adult use
Nephrology,Allopurinol,Xanthine oxidase inhibitor,Hyperuricemia tumor lysis,10 mg/kg/day max 800 mg,800 mg/day,Tab,PO,Once daily,Hypersensitivity,Rash Stevens-Johnson,Start before chemo
Nephrology,Furosemide,Loop diuretic,Edema HTN,1-2 mg/kg IV/PO q6-12h,6 mg/kg/day,Tab liquid inj,PO/IV,q6-12h,Anuria,Hypokalemia ototoxicity,Monitor electrolytes
Nephrology,Spironolactone,K-sparing diuretic,Edema HTN,1-3 mg/kg/day ÷ BID,100 mg/day,Tab susp,PO,BID,Hyperkalemia,Gynecomastia GI upset,Monitor K+
Nephrology,Hydrochlorothiazide,Thiazide diuretic,HTN edema,1-2 mg/kg/day ÷ BID,100 mg/day,Tab liquid,PO,BID,Anuria,Hypokalemia hyperuricemia,Monitor electrolytes
Nephrology,Mannitol,Osmotic diuretic,Cerebral edema,0.25-1 g/kg IV over 30-60 min,2 g/kg,Vial,IV,PRN,Anuria pulmonary edema,CHF electrolyte imbalance,Monitor osmolality
Nephrology,Enalapril,ACE inhibitor,Proteinuria HTN,0.1 mg/kg/day ÷ BID,40 mg/day,Tab liquid,PO,BID,Pregnancy hyper-K,Dry cough AKI,Titrate slowly
Nephrology,Lisinopril,ACE inhibitor,Proteinuria HTN,0.07 mg/kg/day,40 mg/day,Tab liquid,PO,Once daily,Same as above,Same as above,Once-daily dosing
Nephrology,Losartan,ARB,Proteinuria HTN,0.7 mg/kg/day,50 mg/day,Tab liquid,PO,Once daily,Pregnancy,Hyperkalemia AKI,Monitor renal
Nephrology,Amlodipine,CCB,HTN,0.1 mg/kg/day,10 mg/day,Tab,PO,Once daily,Severe AS,Edema flushing,Long half-life
Nephrology,Hydralazine,Vasodilator,HTN crisis,0.75-1 mg/kg/day ÷ QID,7.5 mg/kg/day,Tab IV,PO/IV,QID,Coronary disease,Tachycardia lupus-like,Reflex tachycardia
Nephrology,Prednisolone,Corticosteroid,Nephrotic syndrome,2 mg/kg/day (max 80 mg) taper,80 mg/day,Tab liquid,PO,Once daily,Systemic infection,Growth suppression infection,Taper slowly
Nephrology,Cyclosporine,Calcineurin inhibitor,Nephrotic syndrome,4-6 mg/kg/day ÷ BID titrate trough 100-200 ng/mL,—,Cap susp inj,PO/IV,BID,Uncontrolled HTN malignancy,Nephrotoxicity hirsutism,Monitor trough renal
Nephrology,Tacrolimus,Calcineurin inhibitor,Nephrotic syndrome,0.1-0.2 mg/kg/day ÷ BID titrate trough 5-15 ng/mL,—,Cap susp inj,PO/IV,BID,Severe infection,Hypertension nephrotoxicity,Monitor trough renal
Nephrology,Mycophenolate mofetil,Immunosuppressant,Lupus nephritis,600 mg/m² BID PO max 3 g/day,3 g/day,Cap susp vial,PO/IV,BID,Pregnancy active infection,GI upset cytopenia,Pregnancy test
Nephrology,Rituximab,Anti-CD20 mAb,Nephrotic syndrome,375 mg/m² IV weekly x1-4,—,Vial,IV,Weekly,Active infection,Infusion reaction infection,TB screen
Nephrology,Eculizumab,Complement inhibitor,Atypical HUS,600-900 mg IV weekly then q2wk (weight-based),—,Vial,IV,q2wk,Meningococcal infection,Meningococcal infection,Vaccinate meningococcus
Nephrology,Sevelamer,Phosphate binder,Hyperphosphatemia,Starting 400-800 mg TID with meals,13 g/day,Tab powder,PO,TID,Bowel obstruction,GI upset constipation,Take with meals
Nephrology,Calcium acetate,Phosphate binder,Hyperphosphatemia,Starting 400-800 mg TID with meals,—,Tab powder,PO,TID,Hypercalcemia,Hypercalcemia,Monitor Ca²⁺
Nephrology,Sodium polystyrene sulfonate,Potassium binder,Hyperkalemia,1 g/kg PO/PR q6h,—,Powder enema,PO/PR,q6h,Bowel obstruction,Constipation hypokalemia,Monitor K⁺
Neurological,Topiramate,Anticonvulsant,Seizures migraine,1-3 mg/kg/day titrate to 30 mg/kg/day,30 mg/kg/day,Tab sprinkle cap,PO,BID,Hypersensitivity,Metabolic acidosis kidney stones,Monitor bicarb
Neurological,Acetazolamide,Carbonic anhydrase inhibitor,Increased ICP glaucoma,5 mg/kg/dose once daily or BID,1000 mg,Tab susp,PO,Once daily or BID,Anuria liver failure,Acidosis renal stones,Monitor bicarb
Neurological,Amitriptyline,TCA,Neuropathic pain migraine,2-11 yrs 200 mcg/kg nocte titrate max 1 mg/kg BID; ≥12 yrs 10-75 mg nocte,150 mg/day,Tab,PO,Once daily,MAOI use,Constipation dry mouth,Start low go slow
Neurological,Clonidine,α2-agonist,ADHD sleep spasticity,1-5 mcg/kg/dose PO TID-QID max 5 mcg/kg QID,300 mcg/day,Tab patch inj,PO/IV/Transdermal,TID-QID,Hypersensitivity,Sedation hypotension,Monitor BP HR
Neurological,Guanfacine,α2-agonist,ADHD,1 mg qHS titrate max 4 mg/day (6-12 yrs),4 mg/day,Tab ER,PO,Once daily,Hypersensitivity,Somnolence hypotension,Do not stop abruptly
Neurological,Atomoxetine,SNRI,ADHD,<70 kg 0.5-1.4 mg/kg/day; ≥70 kg 40-100 mg/day,100 mg/day,Cap,PO,Once daily,Narrow-angle glaucoma,Hepatotoxicity suicidal ideation,Monitor LFT mood
Neurological,Methylphenidate,CNS stimulant,ADHD,0.3 mg/kg/day ÷ BID titrate max 2 mg/kg/day (60 mg),60 mg/day,Tab ER cap liquid,PO,BID-TID,Tics psychosis,Insomnia appetite loss,Monitor growth BP
Neurological,Midazolam,Benzodiazepine,Seizures sedation,Intranasal 0.2 mg/kg (max 10 mg) single,10 mg,Inj amp,Intranasal buccal IV,PRN,Hypersensitivity,Resp depression hypotension,Monitor airway
Neurological,Lorazepam,Benzodiazepine,Seizures anxiety,Seizures 0.05-0.1 mg/kg IV q10-15 min prn,—,Tab liquid inj,PO/IV/PR,PRN,Severe resp insufficiency,Sedation dependence,Shorter half-life
Neurological,Diazepam,Benzodiazepine,Seizures spasticity,Seizures 0.1-0.3 mg/kg IV/PR q15-30 min; spasticity 0.12-0.8 mg/kg/day ÷ TID-QID,—,Tab liquid inj rectal,PO/IV/PR,TID-QID,Severe resp insufficiency,Sedation dependence,Resp depression
Neurological,Gabapentin,Anticonvulsant adjuvant,Neuropathic pain CNS irritability,Neonate 5 mg/kg/day titrate to 10 mg/kg/dose TID; 2-11 y 5-20 mg/kg TID; ≥12 y 300-3600 mg/day,3600 mg/day,Cap liquid,PO,TID,Hypersensitivity,Dizziness drowsiness ataxia,Adjust renal
Neurological,Tizanidine,α2-agonist,Spasticity,0.05 mg/kg/day ÷ BID-TID titrate max 0.2 mg/kg/day,0.2 mg/kg/day,Tab cap,PO,TID-QID,Hypersensitivity,Drowsiness hypotension,Monitor LFT BP
Neurological,Levetiracetam,Anticonvulsant,Seizures,10 mg/kg BID (initial) up to 25-30 mg/kg BID,—,Tab liquid inj,PO/IV,BID,Hypersensitivity,Somnolence behavioral changes,No TDM needed
Neurological,Valproic acid,Anticonvulsant,Seizures migraine bipolar,10-15 mg/kg/day ÷ BID-TID titrate to 60 mg/kg/day,60 mg/kg/day,Cap syrup inj,PO/IV,BID-TID,Hepatic disease urea cycle,Hepatotoxicity pancreatitis,TDM narrow TI
Neurological,Phenobarbital,Barbiturate,Neonatal seizures status,Loading 20 mg/kg IV then 3-5 mg/kg/day,—,Tab elixir inj,PO/IV,Once daily,Porphyria,Sedation ataxia,Long half-life drug interactions
Neurological,Phenytoin,Anticonvulsant,Seizures,5 mg/kg/day ÷ BID-TID titrate to max 300 mg/day,300 mg/day,Cap susp inj,PO/IV,BID-TID,Heart block bradycardia,Gum hyperplasia ataxia,TDM drug interactions
Neurological,Carbamazepine,Anticonvulsant,Seizures trigeminal neuralgia,10-20 mg/kg/day ÷ BID-QID max 35 mg/kg/day,35 mg/kg/day,Tab chew susp,PO,BID-QID,Bone marrow depression,Blood dyscrasias rash,Monitor CBC
Neurological,Baclofen,GABA-B agonist,Spasticity,Oral: 0.3 mg/kg/day ÷ TID titrate 0.75-2 mg/kg/day max 40-60 mg/day; IT pump 25-200 mcg/day,60 mg/day,Tab liquid amp,PO/IT,TID-QID,None listed,Sedation hypotonia,Avoid abrupt stop
Neurological,Lamotrigine,Anticonvulsant,Seizures Lennox-Gastaut,0.15 mg/kg/day (with VPA) 0.6 mg/kg/day (without) titrate,400 mg/day,Tab chew ODT,PO,Once or BID,Hypersensitivity,Stevens-Johnson dizziness,Slow titration with VPA
Neurological,Fluoxetine,SSRI,Depression neuropathic pain,≥5 yrs 10 mg once daily titrate max 20 mg/day,20 mg/day,Cap liquid,PO,Once daily,MAOI use,Insomnia GI upset,Suicidality monitor
Oncology,Thioguanine,Antimetabolite,ALL,60 mg/m²/day,—,Tab,PO,Once daily,Same as above,Same as above,Same as above
Oncology,Filgrastim (G-CSF),Growth factor,Neutropenia,5-10 mcg/kg/day,—,Injection,SQ,Once daily,Sickle cell crisis,Bone pain,Monitor ANC
Oncology,Dasatinib,TKI,CML,60 mg/m²/day,100 mg/day,Tab,PO,Once daily,Same as above,Effusion,Monitor pleura
Oncology,Imatinib,TKI,CML,260-340 mg/m²/day,600 mg/day,Cap tab,PO,Once daily,Severe hepatic,Edema,Monitor LFTs
Oncology,Rituximab,Anti-CD20 mAb,Lymphoma,375 mg/m² weekly x4,—,Vial,IV,Weekly,Active infection,Infusion reaction,Premedicate
Oncology,Temozolomide,Alkylator,Glioma,200 mg/m²/day x5,—,Cap,PO,Days 1-5,Severe BM failure,Nausea,Empty stomach
Oncology,Ifosfamide,Alkylator,Sarcoma,1.2-3 g/m²/day x3-5,—,Vial,IV,Days 1-3,Cystitis,Hemorrhagic cystitis,Mesna
Oncology,Actinomycin-D,Antibiotic,Wilms tumor,45 mcg/kg/day x5,—,Vial,IV,Days 1-5,Severe BM failure,Mucositis,Max 2 mg
Oncology,Bleomycin,Antibiotic,Hodgkin,10-15 U/m² weekly,—,Vial,IV/SC,Weekly,Pulmonary fibrosis,Pulmonary toxicity,Monitor PFTs
Oncology,Cytarabine,Antimetabolite,AML lymphoma,100-200 mg/m²/day x7,—,Vial,IV,Days 1-7,Severe BM failure,Cytopenia,Monitor counts
Oncology,Daunorubicin,Anthracycline,AML,45-60 mg/m² x3,—,Vial,IV,Days 1-3,Cardiomyopathy,Cardiotoxicity,Monitor EF
Oncology,Mercaptopurine,Antimetabolite,ALL,75 mg/m²/day,—,Tab,PO,Once daily,TPMT deficiency,Hepatotoxicity,TPMT genotype
Oncology,Asparaginase,Enzyme,ALL,6000-10000 U/m²,—,Vial,IM/IV,Weekly,Pancreatitis,Allergy coagulopathy,Monitor lipase
Oncology,Carboplatin,Platinum,Brain tumors,AUC 5-7 q3wk,—,Vial,IV,q3wk,Severe BM failure,Thrombocytopenia,Calvert formula
Oncology,Cisplatin,Platinum,Germ cell tumors,60-100 mg/m² q3wk,—,Vial,IV,q3wk,Renal failure,Nephrotoxicity,Hydration
Oncology,Etoposide,Topoisomerase inhibitor,Neuroblastoma,100-150 mg/m²/day x3,—,Vial,IV,Days 1-3,Severe BM failure,Leukopenia,Monitor counts
Oncology,Cyclophosphamide,Alkylator,Lymphoma,500-1500 mg/m²,—,Vial,IV,q3wk,Cystitis,Hemorrhagic cystitis,Mesna protection
Oncology,Doxorubicin,Anthracycline,Sarcoma,60-75 mg/m² q3wk,—,Vial,IV,q3wk,Cardiomyopathy,Cardiotoxicity,Monitor EF
Oncology,Vincristine,Vinca alkaloid,ALL lymphoma,1.5 mg/m² (max 2 mg),2 mg,Vial,IV,Weekly,Neuromuscular disease,Neuropathy ileus,Max 2 mg
Oncology,Methotrexate,Antimetabolite,ALL JIA,20 mg/m² weekly,—,Tab inj,PO/SC/IV,Weekly,Renal/hepatic failure,Mucositis cytopenia,Monitor levels
Ophthalmology,Acyclovir 3%,Antiviral,HSV keratitis,1 cm ribbon 5x/day,—,Ointment,Topical,5x/day,None,Irritation,Combine systemic
Ophthalmology,Pilocarpine 1%,Miotic,Glaucoma,1 drop TID,—,Drops,Topical,TID,Retinal detachment,Miosis headache,Monitor vision
Ophthalmology,Trifluridine 1%,Antiviral,HSV keratitis,1 drop q2h,—,Drops,Topical,q2h,None,Epithelial toxicity,Reduce frequency
Ophthalmology,Timolol 0.25%,β-blocker,Glaucoma,1 drop BID,—,Drops,Topical,BID,Asthma,Bradycardia,Monitor HR
Ophthalmology,Brimonidine 0.2%,α-agonist,Glaucoma,1 drop BID,—,Drops,Topical,BID,<2 yrs,Somnolence,Avoid in infants
